FinalID,MaxTol,SAFIT1,SAFIT2,Class,Order,FunctionalFeedingGroup,subfamily,CustomSTE
Abedus,8,Abedus,Abedus,Insecta,Hemiptera,P,,Abedus
Abedus breviceps,8,Abedus,Abedus,Insecta,Hemiptera,P,,Abedus
Abedus herberti,8,Abedus,Abedus,Insecta,Hemiptera,P,,Abedus
Abedus indentatus,8,Abedus,Abedus,Insecta,Hemiptera,P,,Abedus
Abedus ovatus,8,Abedus,Abedus,Insecta,Hemiptera,P,,Abedus
Abedus parkeri,8,Abedus,Abedus,Insecta,Hemiptera,P,,Abedus
Abedus vicinus,8,Abedus,Abedus,Insecta,Hemiptera,P,,Abedus
Ablabesmyia,8,Chironomidae,Ablabesmyia,Insecta,Diptera,CG,Tanypodinae,Tanypodinae
Ablabesmyia annulata,8,Chironomidae,Ablabesmyia,Insecta,Diptera,OM,Tanypodinae,Tanypodinae
Ablabesmyia aspera,8,Chironomidae,Ablabesmyia,Insecta,Diptera,OM,Tanypodinae,Tanypodinae
Ablabesmyia cinctipes,8,Chironomidae,Ablabesmyia,Insecta,Diptera,OM,Tanypodinae,Tanypodinae
Ablabesmyia mallochi,8,Chironomidae,Ablabesmyia,Insecta,Diptera,OM,Tanypodinae,Tanypodinae
Ablabesmyia monilis,8,Chironomidae,Ablabesmyia,Insecta,Diptera,CG,Tanypodinae,Tanypodinae
Ablabesmyia peleensis,8,Chironomidae,Ablabesmyia,Insecta,Diptera,OM,Tanypodinae,Tanypodinae
Ablabesmyia pulchripennis,8,Chironomidae,Ablabesmyia,Insecta,Diptera,CG,Tanypodinae,Tanypodinae
Acalyptonotidae,NA,Acalyptonotidae,Acalyptonotidae,Arachnida,Trombidiformes,P,,Acalyptonotidae
Acalyptonotus,NA,Acalyptonotus,Acalyptonotus,Arachnida,Trombidiformes,P,,Acalyptonotus
Acalyptonotus pacificus,NA,Acalyptonotus,Acalyptonotus,Arachnida,Trombidiformes,P,,Acalyptonotus
Acari,5,Acari,Acari,Arachnida,,P,,Acari
Acentrella,4,Acentrella,Acentrella,Insecta,Ephemeroptera,CG,,Acentrella
Acentrella insignificans,4,Acentrella,Acentrella insignificans,Insecta,Ephemeroptera,CG,,Acentrella
Acentrella turbida,4,Acentrella,Acentrella turbida,Insecta,Ephemeroptera,CG,,Acentrella
Acerpenna,NA,Acerpenna,Acerpenna,Insecta,Ephemeroptera,SH,,Acerpenna
Acerpenna pygmaea,NA,Acerpenna,Acerpenna,Insecta,Ephemeroptera,OM,,Acerpenna
Acerpenna sulfurosus,NA,Acerpenna,Acerpenna sulfurosus,Insecta,Ephemeroptera,SH,,Acerpenna
Acerpenna thermophilus,4,Acerpenna,Acerpenna thermophilus,Insecta,Ephemeroptera,SH,,Acerpenna
Acilius,5,Acilius,Acilius,Insecta,Coleoptera,P,Dytiscinae,Acilius
Acilius abbreviatus,5,Acilius abbreviatus,Acilius abbreviatus,Insecta,Coleoptera,P,Dytiscinae,Acilius abbreviatus
Acneus,4,Acneus,Acneus,Insecta,Coleoptera,SC,,Acneus
Acneus beeri,NA,Acneus,Acneus,Insecta,Coleoptera,SC,,Acneus
Acneus burnelli,NA,Acneus,Acneus,Insecta,Coleoptera,SC,,Acneus
Acneus oregonensis,NA,Acneus,Acneus,Insecta,Coleoptera,SC,,Acneus
Acneus quadrimaculatus,4,Acneus,Acneus,Insecta,Coleoptera,SC,,Acneus
Acricotopus,5,Chironomidae,Acricotopus,Insecta,Diptera,CG,Orthocladiinae,Orthocladiinae
