StationCode,SampleID,FinalID,BAResult,DistinctCode,
402DLG000,402DLG000,Apedilum,1,,
402DLG000,402DLG000,Arrenurus,1,,
402DLG000,402DLG000,Aglaodiaptomus forbesi,1,,
402DLG000,402DLG000,Callibaetis,21,,
402DLG000,402DLG000,Simocephalus,30,,
402DLG000,402DLG000,Coenagrionidae,86,,
402DLG000,402DLG000,Corynoneura,2,,
402DLG000,402DLG000,Cricotopus,4,,
402DLG000,402DLG000,Cyprididae,112,,
402DLG000,402DLG000,Dero,26,,
402DLG000,402DLG000,Dicrotendipes,1,,
402DLG000,402DLG000,Enallagma,64,,
402DLG000,402DLG000,Haliplus,2,,
402DLG000,402DLG000,Haliplus,3,,
402DLG000,402DLG000,Helisoma,63,,
402DLG000,402DLG000,Nais,6,,
402DLG000,402DLG000,Ostracoda,4,Yes,
402DLG000,402DLG000,Oxyethira,1,,
402DLG000,402DLG000,Phaenopsectra,4,,
402DLG000,402DLG000,Physa,42,,
402DLG000,402DLG000,Piona,1,,
402DLG000,402DLG000,Tubificidae,5,,
404BFM002,404BFM002,Arctodiaptomus dorsalis,1,,
404BFM002,404BFM002,Callibaetis,1,,
404BFM002,404BFM002,Daphnia magna,264,,
404BFM002,404BFM002,Simocephalus,21,,
404BFM002,404BFM002,Alona,2,,
404BFM002,404BFM002,Corisella decolor,16,,
404BFM002,404BFM002,Corixidae,40,,
404BFM002,404BFM002,Cricotopus,1,,
404BFM002,404BFM002,Acanthocyclops trajani,10,,
404BFM002,404BFM002,Macrocyclops albidus,6,,
404BFM002,404BFM002,Cyprididae,2,,
404BFM002,404BFM002,Hyalella,61,,
404BFM002,404BFM002,Ostracoda,75,,
404BFM004,404BFM004,Bezzia/ Palpomyia,1,,
404BFM004,404BFM004,Arctodiaptomus dorsalis,9,,
404BFM004,404BFM004,Daphnia magna ,330,,
404BFM004,404BFM004,Simocephalus,7,,
404BFM004,404BFM004,Corisella decolor,18,,
404BFM004,404BFM004,Corixidae,18,,
404BFM004,404BFM004,Cricotopus,2,,
404BFM004,404BFM004,Acanthocyclops trajani,14,,
404BFM004,404BFM004,Macrocyclops albidus,4,,
404BFM004,404BFM004,Cyprididae,1,,
404BFM004,404BFM004,Dasyhelea,1,,
404BFM004,404BFM004,Dero,1,,
404BFM004,404BFM004,Hyalella,34,,
404BFM004,404BFM004,Ostracoda,72,,
404BFM004,404BFM004,Physa,3,,
404BFM004,404BFM004,Tanypus,1,,
404BFM004,404BFM004,Tubificidae,1,,
404BFM006,404BFM006,Arctodiaptomus dorsalis,2,,
404BFM006,404BFM006,Chironomus,1,,
404BFM006,404BFM006,Daphnia magna ,2,,
404BFM006,404BFM006,Simocephalus,8,,
404BFM006,404BFM006,Ceriodaphnia,2,,
404BFM006,404BFM006,Alona,5,,
404BFM006,404BFM006,Corisella decolor,116,,
404BFM006,404BFM006,Corixidae,58,,
404BFM006,404BFM006,Cricotopus,1,,
404BFM006,404BFM006,Acanthocyclops einslei,1,,
404BFM006,404BFM006,Acanthocyclops trajani,11,,
404BFM006,404BFM006,Macrocyclops albidus,5,,
404BFM006,404BFM006,Cyprididae,2,,
404BFM006,404BFM006,Dasyhelea,1,,
404BFM006,404BFM006,Dero,4,,
404BFM006,404BFM006,Dicrotendipes,3,,
404BFM006,404BFM006,Hyalella,54,,
404BFM006,404BFM006,Ostracoda,200,,
404BFM006,404BFM006,Physa,2,,
404BFM006,404BFM006,Tanypus,1,,
404BFM006,404BFM006,Tubificidae,10,,
