FinalID,EffectiveEffortLevel_SAFIT1,EffectiveEffortLevel_SAFIT2,Class,Order,ToleranceValue,FunctionalFeedingGroup
Abedus,Abedus,Abedus,Insecta,Hemiptera,8,P
Abedus breviceps,Abedus,Abedus,Insecta,Hemiptera,8,P
Abedus breviceps,Abedus,Abedus,Insecta,Hemiptera,,P
Abedus herberti,Abedus,Abedus,Insecta,Hemiptera,,P
Abedus herberti,Abedus,Abedus,Insecta,Hemiptera,8,P
Abedus indentatus,Abedus,Abedus,Insecta,Hemiptera,8,P
Abedus ovatus,Abedus,Abedus,Insecta,Hemiptera,,P
Abedus ovatus,Abedus,Abedus,Insecta,Hemiptera,8,P
Abedus parkeri,Abedus,Abedus,Insecta,Hemiptera,8,P
Abedus parkeri,Abedus,Abedus,Insecta,Hemiptera,,P
Abedus vicinus,Abedus,Abedus,Insecta,Hemiptera,8,P
Abedus vicinus,Abedus,Abedus,Insecta,Hemiptera,,P
Ablabesmyia,Chironomidae,Ablabesmyia,Insecta,Diptera,8,CG
Ablabesmyia annulata,Chironomidae,Ablabesmyia,Insecta,Diptera,8,OM
Ablabesmyia aspera,Chironomidae,Ablabesmyia,Insecta,Diptera,8,OM
Ablabesmyia cinctipes,Chironomidae,Ablabesmyia,Insecta,Diptera,8,OM
Ablabesmyia mallochi,Chironomidae,Ablabesmyia,Insecta,Diptera,8,OM
Ablabesmyia monilis,Chironomidae,Ablabesmyia,Insecta,Diptera,8,CG
Ablabesmyia peleensis,Chironomidae,Ablabesmyia,Insecta,Diptera,8,OM
Ablabesmyia pulchripennis,Chironomidae,Ablabesmyia,Insecta,Diptera,8,CG
Acalyptonotidae,Acalyptonotidae,Acalyptonotidae,Arachnida,Trombidiformes,,P
Acalyptonotus,Acalyptonotus,Acalyptonotus,Arachnida,Trombidiformes,,P
Acalyptonotus pacificus,Acalyptonotus,Acalyptonotus,Arachnida,Trombidiformes,,P
Acari,Acari,Acari,Arachnida,,5,P
Acentrella,Acentrella,Acentrella,Insecta,Ephemeroptera,4,CG
Acentrella insignificans,Acentrella,Acentrella insignificans,Insecta,Ephemeroptera,4,CG
Acentrella turbida,Acentrella,Acentrella turbida,Insecta,Ephemeroptera,4,CG
Acerpenna,Acerpenna,Acerpenna,Insecta,Ephemeroptera,,SH
Acerpenna pygmaea,Acerpenna,Acerpenna,Insecta,Ephemeroptera,,OM
Acerpenna sulfurosus,Acerpenna,Acerpenna sulfurosus,Insecta,Ephemeroptera,,SH
Acerpenna thermophilus,Acerpenna,Acerpenna thermophilus,Insecta,Ephemeroptera,4,SH
Acilius,Acilius,Acilius,Insecta,Coleoptera,5,P
Acilius abbreviatus,Acilius abbreviatus,Acilius abbreviatus,Insecta,Coleoptera,5,P
Acneus,Acneus,Acneus,Insecta,Coleoptera,4,SC
Acneus beeri,Acneus,Acneus,Insecta,Coleoptera,,SC
Acneus burnelli,Acneus,Acneus,Insecta,Coleoptera,,SC
Acneus oregonensis,Acneus,Acneus,Insecta,Coleoptera,,SC
Acneus quadrimaculatus,Acneus,Acneus,Insecta,Coleoptera,4,SC
Acricotopus,Chironomidae,Acricotopus,Insecta,Diptera,5,CG
Adenophorea,Nematoda,Nematoda,Adenophorea,,5,P
Aedes,Aedes,Aedes,Insecta,Diptera,8,CF
Aedes aegypti,Aedes,Aedes,Insecta,Diptera,8,CF
Aedes cinereus,Aedes,Aedes,Insecta,Diptera,8,CF
Aedes vexans,Aedes,Aedes,Insecta,Diptera,8,CF
Aeshna,Aeshna,Aeshna,Insecta,Odonata,5,P
Aeshna canadensis,Aeshna,Aeshna,Insecta,Odonata,5,P
Aeshna constricta,Aeshna,Aeshna,Insecta,Odonata,5,P
Aeshna eremita,Aeshna,Aeshna,Insecta,Odonata,5,P
Aeshna interrupta,Aeshna,Aeshna,Insecta,Odonata,5,P
Aeshna juncea,Aeshna,Aeshna,Insecta,Odonata,5,P
Aeshna palmata,Aeshna,Aeshna,Insecta,Odonata,5,P
Aeshna persephone,Aeshna,Aeshna,Insecta,Odonata,5,P
Aeshna subarctica,Aeshna,Aeshna,Insecta,Odonata,5,P
Aeshna tuberculifera,Aeshna,Aeshna,Insecta,Odonata,5,P
Aeshna umbrosa,Aeshna,Aeshna,Insecta,Odonata,5,P
Aeshna walkeri,Aeshna,Aeshna,Insecta,Odonata,5,P
Aeshna/ Rhionaeshna,Aeshna/ Rhionaeshna,Aeshna/ Rhionaeshna,Insecta,Odonata,5,P
Aeshnidae,Aeshnidae,Aeshnidae,Insecta,Odonata,5,P
Agabinus,Agabinus,Agabinus,Insecta,Coleoptera,5,P
Agabinus glabrellus,Agabinus,Agabinus,Insecta,Coleoptera,5,P
Agabinus sculpturellus,Agabinus,Agabinus,Insecta,Coleoptera,5,P
Agabus,Agabus,Agabus,Insecta,Coleoptera,8,P
Agabus ambiguus,Agabus,Agabus,Insecta,Coleoptera,8,P
Agabus ancillus,Agabus,Agabus,Insecta,Coleoptera,8,P
Agabus anthracinus,Agabus,Agabus,Insecta,Coleoptera,8,P
Agabus apache,Agabus,Agabus,Insecta,Coleoptera,8,P
Agabus approximatus,Agabus,Agabus,Insecta,Coleoptera,8,P
Agabus austinii,Agabus,Agabus,Insecta,Coleoptera,8,P
Agabus austrodiscors,Agabus,Agabus,Insecta,Coleoptera,8,P
Agabus bifarius,Agabus,Agabus,Insecta,Coleoptera,8,P
Agabus bjorkmanae,Agabus,Agabus,Insecta,Coleoptera,8,P
Agabus brevicollis,Agabus,Agabus,Insecta,Coleoptera,8,P
Agabus canadensis,Agabus,Agabus,Insecta,Coleoptera,8,P
Agabus confertus,Agabus,Agabus,Insecta,Coleoptera,8,P
Agabus cordatus,Agabus,Agabus,Insecta,Coleoptera,8,P
Agabus discors,Agabus,Agabus,Insecta,Coleoptera,8,P
Agabus disintegratus,Agabus,Agabus,Insecta,Coleoptera,8,P
Agabus erichsoni,Agabus,Agabus,Insecta,Coleoptera,8,P
Agabus euryomus,Agabus,Agabus,Insecta,Coleoptera,8,P
Agabus griseipennis,Agabus,Agabus,Insecta,Coleoptera,8,P
Agabus hoppingi,Agabus,Agabus,Insecta,Coleoptera,8,P
Agabus hypomelas,Agabus,Agabus,Insecta,Coleoptera,8,P
Agabus ilybiiformis,Agabus,Agabus,Insecta,Coleoptera,8,P
Agabus jimzim,Agabus,Agabus,Insecta,Coleoptera,8,P
Agabus klamathensis,Agabus,Agabus,Insecta,Coleoptera,8,P
Agabus kootenai,Agabus,Agabus,Insecta,Coleoptera,8,P
Agabus lineelus,Agabus,Agabus,Insecta,Coleoptera,8,P
Agabus lugens,Agabus,Agabus,Insecta,Coleoptera,8,P
Agabus lutosus,Agabus,Agabus,Insecta,Coleoptera,8,P
Agabus minnesotensis,Agabus,Agabus,Insecta,Coleoptera,8,P
Agabus morosus,Agabus,Agabus,Insecta,Coleoptera,8,P
Agabus obliteratus,Agabus,Agabus,Insecta,Coleoptera,8,P
Agabus oblongulus,Agabus,Agabus,Insecta,Coleoptera,8,P
Agabus obsoletus,Agabus,Agabus,Insecta,Coleoptera,8,P
Agabus pandurus,Agabus,Agabus,Insecta,Coleoptera,8,P
Agabus perplexus,Agabus,Agabus,Insecta,Coleoptera,8,P
Agabus pisobius,Agabus,Agabus,Insecta,Coleoptera,8,P
Agabus punctulatus,Agabus,Agabus,Insecta,Coleoptera,8,P
Agabus regularis,Agabus,Agabus,Insecta,Coleoptera,8,P
Agabus roguus,Agabus,Agabus,Insecta,Coleoptera,8,P
Agabus rumppi,Agabus,Agabus,Insecta,Coleoptera,8,P
Agabus sasquatch,Agabus,Agabus,Insecta,Coleoptera,8,P
Agabus semipunctatus,Agabus,Agabus,Insecta,Coleoptera,8,P
Agabus semivittatus,Agabus,Agabus,Insecta,Coleoptera,8,P
Agabus seriatus,Agabus,Agabus,Insecta,Coleoptera,8,P
Agabus smithi,Agabus,Agabus,Insecta,Coleoptera,8,P
Agabus strigulosus,Agabus,Agabus,Insecta,Coleoptera,8,P
Agabus tristis,Agabus,Agabus,Insecta,Coleoptera,8,P
Agabus vancouverensis,Agabus,Agabus,Insecta,Coleoptera,8,P
Agabus vandykei,Agabus,Agabus,Insecta,Coleoptera,8,P
Agabus versimilis,Agabus,Agabus,Insecta,Coleoptera,8,P
Agabus walsinghami,Agabus,Agabus,Insecta,Coleoptera,8,P
Agapetus,Agapetus,Agapetus,Insecta,Trichoptera,0,SC
Agapetus arcita,Agapetus,Agapetus,Insecta,Trichoptera,0,SC
Agapetus bifidus,Agapetus,Agapetus,Insecta,Trichoptera,0,SC
Agapetus boulderensis,Agapetus,Agapetus,Insecta,Trichoptera,0,SC
Agapetus celatus,Agapetus,Agapetus,Insecta,Trichoptera,0,SC
Agapetus cornutus,Agapetus,Agapetus,Insecta,Trichoptera,0,SC
Agapetus denningi,Agapetus,Agapetus,Insecta,Trichoptera,0,SC
Agapetus joannia,Agapetus,Agapetus,Insecta,Trichoptera,0,SC
Agapetus malleatus,Agapetus,Agapetus,Insecta,Trichoptera,0,SC
Agapetus marlo,Agapetus,Agapetus,Insecta,Trichoptera,0,SC
Agapetus occidentis,Agapetus,Agapetus,Insecta,Trichoptera,0,SC
Agapetus orosus,Agapetus,Agapetus,Insecta,Trichoptera,0,SC
Agapetus taho,Agapetus,Agapetus,Insecta,Trichoptera,0,SC
Agasicles,Agasicles,Agasicles,Insecta,Coleoptera,,SH
Agasicles hygrophila,Agasicles,Agasicles,Insecta,Coleoptera,,SH
Agathon,Agathon,Agathon,Insecta,Diptera,0,SC
Agathon arizonica,Agathon,Agathon,Insecta,Diptera,0,SC
Agathon aylmeri,Agathon,Agathon,Insecta,Diptera,0,SC
Agathon aylmeri group,Agathon,Agathon,Insecta,Diptera,0,SC
Agathon comstocki,Agathon,Agathon,Insecta,Diptera,0,SC
Agathon dismalea,Agathon,Agathon,Insecta,Diptera,0,SC
Agathon doanei,Agathon,Agathon,Insecta,Diptera,0,SC
Agathon elegantulus,Agathon,Agathon,Insecta,Diptera,0,SC
Agathon markii,Agathon,Agathon,Insecta,Diptera,0,SC
Agathon sequoiarum,Agathon,Agathon,Insecta,Diptera,0,SC
Agraylea,Agraylea,Agraylea,Insecta,Trichoptera,8,PH
Agraylea multipunctata,Agraylea,Agraylea,Insecta,Trichoptera,8,PH
Agraylea saltesea,Agraylea,Agraylea,Insecta,Trichoptera,8,PH
Agrypnia,Agrypnia,Agrypnia,Insecta,Trichoptera,4,SH
Agrypnia dextra,Agrypnia,Agrypnia,Insecta,Trichoptera,4,SH
Agrypnia glacialis,Agrypnia,Agrypnia,Insecta,Trichoptera,4,SH
Agrypnia improba,Agrypnia,Agrypnia,Insecta,Trichoptera,4,SH
Agrypnia pagetana,Agrypnia,Agrypnia,Insecta,Trichoptera,4,SH
Agrypnia vestita,Agrypnia,Agrypnia,Insecta,Trichoptera,4,SH
Albia,Albia,Albia,Arachnida,Trombidiformes,,P
Alisotrichia,Alisotrichia,Alisotrichia,Insecta,Trichoptera,4,PH
Alisotrichia arizonica,Alisotrichia arizonica,Alisotrichia arizonica,Insecta,Trichoptera,4,PH
Allocosmoecus,Allocosmoecus,Allocosmoecus,Insecta,Trichoptera,0,SC
Allocosmoecus partitus,Allocosmoecus partitus,Allocosmoecus partitus,Insecta,Trichoptera,0,SC
Allomyia,Allomyia,Allomyia,Insecta,Trichoptera,0,SC
Allomyia acanthis,Allomyia,Allomyia,Insecta,Trichoptera,0,SC
Allomyia cascadis,Allomyia,Allomyia,Insecta,Trichoptera,0,SC
Allomyia cidoipes,Allomyia,Allomyia,Insecta,Trichoptera,0,SC
Allomyia renoa,Allomyia,Allomyia,Insecta,Trichoptera,0,SC
Allomyia tripunctata,Allomyia,Allomyia,Insecta,Trichoptera,0,SC
Alloperla,Alloperla,Alloperla,Insecta,Plecoptera,1,P
Alloperla chandleri,Alloperla,Alloperla,Insecta,Plecoptera,1,P
Alloperla delicata,Alloperla,Alloperla,Insecta,Plecoptera,1,P
Alloperla elevata,Alloperla,Alloperla,Insecta,Plecoptera,1,P
Alloperla fraterna,Alloperla,Alloperla,Insecta,Plecoptera,1,P
Alloperla serrata,Alloperla,Alloperla,Insecta,Plecoptera,1,P
Alloperla severa,Alloperla,Alloperla,Insecta,Plecoptera,1,P
Alloperla thalia,Alloperla,Alloperla,Insecta,Plecoptera,1,P
Allotrichoma,Allotrichoma,Allotrichoma,Insecta,Diptera,6,CG
Alluaudomyia,Alluaudomyia,Alluaudomyia,Insecta,Diptera,,P
Alotanypus,Chironomidae,Alotanypus,Insecta,Diptera,7,P
Alotanypus venustus,Chironomidae,Alotanypus,Insecta,Diptera,7,P
Ambrysus,Ambrysus,Ambrysus,Insecta,Hemiptera,5,P
Ambrysus amargosus,Ambrysus,Ambrysus,Insecta,Hemiptera,5,P
Ambrysus arizonus,Ambrysus,Ambrysus,Insecta,Hemiptera,,P
Ambrysus arizonus,Ambrysus,Ambrysus,Insecta,Hemiptera,5,P
Ambrysus californicus,Ambrysus,Ambrysus,Insecta,Hemiptera,5,P
Ambrysus circumcinctus,Ambrysus,Ambrysus,Insecta,Hemiptera,,P
Ambrysus circumcinctus,Ambrysus,Ambrysus,Insecta,Hemiptera,5,P
Ambrysus funebris,Ambrysus,Ambrysus,Insecta,Hemiptera,5,P
Ambrysus funebris,Ambrysus,Ambrysus,Insecta,Hemiptera,,P
Ambrysus melanopterus,Ambrysus,Ambrysus,Insecta,Hemiptera,5,P
Ambrysus melanopterus,Ambrysus,Ambrysus,Insecta,Hemiptera,,P
Ambrysus mormon,Ambrysus,Ambrysus,Insecta,Hemiptera,5,P
Ambrysus occidentalis,Ambrysus,Ambrysus,Insecta,Hemiptera,5,P
Ambrysus pulchellus,Ambrysus,Ambrysus,Insecta,Hemiptera,,P
Ambrysus pulchellus,Ambrysus,Ambrysus,Insecta,Hemiptera,5,P
Ambrysus puncticollis,Ambrysus,Ambrysus,Insecta,Hemiptera,,P
Ambrysus puncticollis,Ambrysus,Ambrysus,Insecta,Hemiptera,5,P
Ambrysus relictus,Ambrysus,Ambrysus,Insecta,Hemiptera,5,P
Ambrysus relictus,Ambrysus,Ambrysus,Insecta,Hemiptera,,P
Ambrysus thermarum,Ambrysus,Ambrysus,Insecta,Hemiptera,,P
Ambrysus thermarum,Ambrysus,Ambrysus,Insecta,Hemiptera,5,P
Ambrysus woodburyi,Ambrysus,Ambrysus,Insecta,Hemiptera,,P
Ambrysus woodburyi,Ambrysus,Ambrysus,Insecta,Hemiptera,5,P
Ameletus,Ameletus,Ameletus,Insecta,Ephemeroptera,0,CG
Ameletus amador,Ameletus,Ameletus,Insecta,Ephemeroptera,0,CG
Ameletus andersoni,Ameletus,Ameletus,Insecta,Ephemeroptera,0,CG
Ameletus bellulus,Ameletus,Ameletus,Insecta,Ephemeroptera,0,CG
Ameletus celer,Ameletus,Ameletus,Insecta,Ephemeroptera,0,CG
Ameletus cooki,Ameletus,Ameletus,Insecta,Ephemeroptera,0,CG
Ameletus dissitus,Ameletus,Ameletus,Insecta,Ephemeroptera,0,CG
Ameletus doddsianus,Ameletus,Ameletus,Insecta,Ephemeroptera,0,CG
Ameletus edmundsi,Ameletus,Ameletus,Insecta,Ephemeroptera,0,CG
Ameletus exquisitus,Ameletus,Ameletus,Insecta,Ephemeroptera,0,CG
Ameletus falsus,Ameletus,Ameletus,Insecta,Ephemeroptera,0,CG
Ameletus imbellis,Ameletus,Ameletus,Insecta,Ephemeroptera,0,CG
Ameletus majusculus,Ameletus,Ameletus,Insecta,Ephemeroptera,0,CG
Ameletus minumus,Ameletus,Ameletus,Insecta,Ephemeroptera,0,CG
Ameletus oregonensis,Ameletus,Ameletus,Insecta,Ephemeroptera,0,CG
Ameletus pritchardi,Ameletus,Ameletus,Insecta,Ephemeroptera,0,CG
Ameletus quadratus,Ameletus,Ameletus,Insecta,Ephemeroptera,0,CG
Ameletus shepardi,Ameletus,Ameletus,Insecta,Ephemeroptera,0,CG
Ameletus similior,Ameletus,Ameletus,Insecta,Ephemeroptera,0,CG
Ameletus sparsatus,Ameletus,Ameletus,Insecta,Ephemeroptera,0,CG
Ameletus subnotatus,Ameletus,Ameletus,Insecta,Ephemeroptera,0,CG
Ameletus suffusus,Ameletus,Ameletus,Insecta,Ephemeroptera,0,CG
Ameletus tolae,Ameletus,Ameletus,Insecta,Ephemeroptera,0,CG
Ameletus validus,Ameletus,Ameletus,Insecta,Ephemeroptera,0,CG
Ameletus vancouverensis,Ameletus,Ameletus,Insecta,Ephemeroptera,0,CG
Ameletus velox,Ameletus,Ameletus,Insecta,Ephemeroptera,0,CG
Ameletus vernalis,Ameletus,Ameletus,Insecta,Ephemeroptera,0,CG
