SampleID,Percent three dominant taxa,Updated Percent three dominant taxa,Percent Tanypodinae/ Chironomidae,Updated Percent Tanypodinae/ Chironomidae,Percent Coleoptera,Updated Percent Coleoptera,Percent EOT,Updated Percent EOT,Scraper richness,Updated Scraper richness,EOT richness,Updated EOT richness,Oligochaeta richness,Updated Oligochaeta richness,Predator richness,Updated Predator richness
19944,54.35684647,54.02061856,0,0,1.037344398,1.030927835,35.6846473,35.46391753,1,1,4,4,1,1,3,3
19945,79.52286282,79.52286282,98.7654321,98.7654321,0,0,0.2,0.2,2,2,0,0,1,1,1,1
19946,84.33268859,84.16988417,98.97959184,93.33333333,0,0,0,0,0,0,1,1,0,0,2,2
19947,76.48261759,76.32653061,2.222222222,1.123595506,0,0,0,0,0,0,0,0,0,0,3,3
19948,99.21722114,97.12643678,0,73.68421053,0,0,0,0,0,0,0,0,1,1,0,0
19949,52.65306122,52.43902439,0,0,0,0,4.285714286,4.268292683,1,1,0,0,1,1,3,3
19950,93.81237525,93.81237525,0,0,0,0,0,0,1,1,0,0,1,1,1,1
19951,66.25766871,66.25766871,0.636942675,1.910828025,0,0,0,0,1,1,1,1,1,1,1,1
19952,74.80314961,74.80314961,6.25,13.33333333,2.6,2.6,0.8,0.8,2,2,0,0,1,1,4,4
19953,82.77886497,82.77886497,1.5625,4.6875,0,0,0,0,0,0,0,0,1,1,4,4
19954,58.3984375,58.3984375,3.773584906,1.923076923,0.4,17,27.6,1.2,3,3,0,0,1,1,5,4
19955,56.53846154,56.53846154,6.862745098,8.080808081,13.2,5.4,24.2,59,2,3,1,1,1,1,4,6
19956,60.60606061,60.24096386,14.81481481,5.102040816,0,0,48.48484848,5.823293173,1,1,2,2,1,1,6,6
19957,57.69230769,57.69230769,0.628930818,1.25,1.012145749,0.20242915,14.77732794,31.57894737,2,2,4,3,1,1,8,7
19958,90.54325956,90,0,0,23.138833,14,13.07847082,4.6,0,0,1,2,1,1,4,4
19959,89.45233266,89.27125506,0,0,0.202839757,0.20242915,0,0,0,0,2,2,0,0,4,2
19960,73.16602317,73.16602317,0,0,0,0,0,0,0,0,1,0,1,1,3,4
19961,85.57312253,85.40433925,80.68181818,84.70588235,5,14.4,18.2,4.8,1,1,2,3,1,1,8,7
19962,55.2173913,55.2173913,85.36585366,85.36585366,69.13043478,39.13043478,4.565217391,6.52173913,0,0,4,4,1,1,8,7
19963,49.20948617,49.11242604,46.15384615,5.063291139,3.2,2.2,1.6,1,1,1,3,3,1,1,9,9
19964,80.65843621,80.65843621,0,0,0,0,13.16872428,0.823045267,0,0,0,0,1,1,2,3
