StationCode,SampleID,Taxa,DistinctCode,Result,STE,distinct,Replicate 1,Replicate 2,Replicate 3,Replicate 4,Replicate 5,Replicate 6,Replicate 7,Replicate 8,Replicate 9,Replicate 10,Replicate 11,Replicate 12,Replicate 13,Replicate 14,Replicate 15,Replicate 16,Replicate 17,Replicate 18,Replicate 19,Replicate 20,MaxTol,Class,Order,FunctionalFeedingGroup,Family,subfamily
402DLG000,402DLG000,Aglaodiaptomus forbesi,,1,Aglaodiaptomus,Distinct,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,Maxillopoda,Calanoida,CF,Diaptomidae,
402DLG000,402DLG000,Apedilum,,1,Chironominae,Distinct,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,Insecta,Diptera,CG,Chironomidae,Chironominae
402DLG000,402DLG000,Arrenurus,,1,Arrenurus,Distinct,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,Arachnida,Trombidiformes,P,Arrenuridae,
402DLG000,402DLG000,Callibaetis,,21,Callibaetis,Distinct,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,9,Insecta,Ephemeroptera,CG,Baetidae,
402DLG000,402DLG000,Coenagrionidae,,86,Coenagrionidae,Non-Distinct,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,9,Insecta,Odonata,P,Coenagrionidae,
402DLG000,402DLG000,Corynoneura,,2,Orthocladiinae,Distinct,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,Insecta,Diptera,CG,Chironomidae,Orthocladiinae
402DLG000,402DLG000,Cricotopus,,4,Orthocladiinae,Distinct,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,Insecta,Diptera,CG,Chironomidae,Orthocladiinae
402DLG000,402DLG000,Cyprididae,,112,Cyprididae,Distinct,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,8,Ostracoda,Podocopida,CG,Cyprididae,
402DLG000,402DLG000,Dero,,26,Dero,Distinct,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,10,Oligochaeta,Tubificida,CG,Naididae,
402DLG000,402DLG000,Dicrotendipes,,1,Chironominae,Distinct,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,Insecta,Diptera,CG,Chironomidae,Chironominae
